622,12957
792,11464
8847,12345
9931,11464
6037,12345
2242,11464
4040,12957
2201,11464
3508,12267
5628,12604
857,12267
2125,12345
6702,12345
9789,12009
1185,12009
5319,12009
2793,12297
4343,12297
5057,12045
5277,12045
791,12045
6025,12267
9080,12267
7333,12267
2229,12424
8446,12957
433,12604
268,12779
1616,12957
8927,11464
1015,12779
3399,12957
2876,12424
5961,12957
9708,12297
3337,12297
2560,12297
8250,12297
9246,12297
1072,12604
2122,12009
2535,12009
7974,12009
8893,12779
306,12424
7588,12779
7319,12957
5894,12604
8184,12267
1749,12267
5174,12424
1455,12604
9443,12297
7764,12297
5156,12604
3862,12424
8,12957
8135,12424
2356,12779
4947,12045
2057,12604
4756,12045
7777,12604
1122,12045
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
